"CLIENT_ID","NAME","EMAIL","AGE","TYPE","ACCOUNT_ID","STATE_NAME","REGION","DIVISION","CARD_TYPE","ACTIVE_YEARS","ACTIVE_MONTHS","LOAN_AMOUNT","LOAN_DURATION","LOAN_PAYEMENTS","LOAN_STATUS","CRMEVENT_COUNT","E_MAIL","FAX","PHONE","REFERRAL","WEB","POSTAL_MAIL","CLOSED","CLOSED_WITH_EXPLANATION","CLOSED_WITH_MONETARY_RELIEF","CLOSED_WITH_RELIEF","CLOSED_WITHOUT_RELIEF","IN_PROGRESS","UNTIMELY_RESPONSE","TRANS_COUNT","TOTAL_BALANCE","AVG_ANNUAL_INCOME","AVG_MONTHLY_INCOME","CLIENT_CATERGORY","TOTAL_PAYMENTS","HOUSEHOLD_PAYMENT","INSURANCE_PAYMENT","LEASING_PAYMENT","LOAN_PAYMENT","OTHER_PAYMENTS","SEX"
"C00000011","Isabella Haidyn Jones","isabella.jones@hotmail.com",49,"User","A00000008","Massachusetts","Northeast","New England","No Card",4,49,0,0,0,"No Loan",6,0,0,0,2,4,0,0,6,0,0,0,0,0,254,3226534,806633.5,65847.63,"High Networth",9324,2612,0,0,0,6712,"Female"
"C00000013","Mia Hawa Miller","mia.miller@gmail.com",25,"Owner","A00000010","Texas","South","West South Central","No Card",3,38,0,0,0,"No Loan",3,0,0,0,2,1,0,0,2,0,1,0,0,0,156,909257,303085.67,23927.82,"High Income",8377,7033,0,1344,0,0,"Female"
"C00000014","Abigail Inaaya Davis","abigail.davis5@gmail.com",57,"Owner","A00000011","New York","Northeast","Middle Atlantic","No Card",4,48,0,0,0,"No Loan",4,0,0,0,3,1,0,0,2,2,0,0,0,0,186,2100818,525204.5,43767.04,"High Income",2132,2132,0,0,0,0,"Female"
"C00000015","Emily Joann Garcia","emily.garcia43@outlook.com",81,"Owner","A00000012","Nebraska","Midwest","West North Central","No Card",2,30,0,0,0,"No Loan",3,0,0,0,2,1,0,0,2,0,1,0,0,0,106,965305,482652.5,32176.83,"High Income",3592,3592,0,0,0,0,"Female"
"C00000016","Alexander Bronx Lewis","alexander.lewis3@gmail.com",80,"User","A00000012","Nebraska","Midwest","West North Central","No Card",2,30,0,0,0,"No Loan",3,0,0,0,2,0,1,0,1,1,0,0,0,0,106,965305,482652.5,32176.83,"High Income",3592,3592,0,0,0,0,"Male"
"C00000017","Michael Clifton Robinson","michael.robinson2@gmail.com",65,"Owner","A00000013","New York","Northeast","Middle Atlantic","No Card",2,26,0,0,0,"No Loan",4,0,0,1,1,2,0,0,1,3,0,0,0,0,75,423939,211969.5,16305.35,"Upper-Middle Income",2444,2444,0,0,0,0,"Male"
"C00000018","Charlotte Joi Rodriguez","charlotte.rodriguez2@gmail.com",68,"User","A00000013","New York","Northeast","Middle Atlantic","No Card",2,26,0,0,0,"No Loan",6,0,0,0,4,1,1,0,4,2,0,0,0,0,75,423939,211969.5,16305.35,"Upper-Middle Income",2444,2444,0,0,0,0,"Female"
"C00000019","Benjamin Denis Walker","benjamin.walker@gmail.com",57,"Owner","A00000014","West Virginia","South","South Atlantic","VISA Signature",2,35,0,0,0,"No Loan",5,0,0,1,1,3,0,0,5,0,0,0,0,0,124,953564,476782,27244.69,"High Income",3629,3629,0,0,0,0,"Male"
"C00000020","Elijah Grayden Perez","elijah.perez@gmail.com",21,"Owner","A00000015","California","West","Pacific","No Card",6,73,0,0,0,"No Loan",1,0,0,0,0,1,0,0,0,1,0,0,0,0,365,2773267,462211.17,37989.96,"High Income",3072,3072,0,0,0,0,"Male"
"C00000022","Madison Kimberlyn Martinez","madison.martinez@gmail.com",30,"Owner","A00000017","New York","Northeast","Middle Atlantic","No Card",2,33,0,0,0,"No Loan",2,0,0,1,0,1,0,0,2,0,0,0,0,0,54,143180,71590,4338.79,"Middle Income",4032,4032,0,0,0,0,"Female"
"C00000023","Daniel Isa Hall","daniel.hall67@gmail.com",26,"User","A00000017","New York","Northeast","Middle Atlantic","No Card",2,33,0,0,0,"No Loan",3,0,0,0,2,1,0,0,1,2,0,0,0,0,54,143180,71590,4338.79,"Middle Income",4032,4032,0,0,0,0,"Male"
"C00000025","Elizabeth Lupita Taylor","elizabeth.taylor@gmail.com",60,"Owner","A00000019","Nebraska","Midwest","West North Central","No Card",4,54,30276,12,2523,"B",3,0,0,1,1,1,0,0,2,0,0,0,0,0,303,1318656,329664,24419.56,"High Income",2523.2,0,0,0,2523.2,0,"Female"
"C00000026","Sofia Makaila Thomas","sofia.thomas@gmail.com",30,"Owner","A00000020","Illinois","Northeast","East North Central","No Card",3,38,0,0,0,"No Loan",5,0,0,0,2,3,0,0,4,1,0,0,0,0,116,845576,281858.67,22252,"Upper-Middle Income",2003,2003,0,0,0,0,"Female"
"C00000027","Evelyn Mari Hernandez","evelyn.mari.hernandez8@gmail.com",33,"Owner","A00000021","Texas","South","West South Central","No Card",1,23,0,0,0,"No Loan",7,0,0,1,3,3,0,0,7,0,0,0,0,0,62,320850,320850,13950,"High Income",6276,6276,0,0,0,0,"Female"
"C00000028","Aiden Jamil Young","aiden.young9@gmail.com",54,"Owner","A00000022","New York","Northeast","Middle Atlantic","No Card",5,67,0,0,0,"No Loan",1,0,0,0,0,1,0,0,1,0,0,0,0,0,310,1625731,325146.2,24264.64,"High Income",6352,6352,0,0,0,0,"Male"
"C00000029","Avery Mildred Moore","avery.moore@hotmail.com",48,"Owner","A00000023","Idaho","West","Mountain","No Card",6,77,0,0,0,"No Loan",5,0,1,1,1,2,0,1,3,0,0,1,0,0,370,2713833,452305.5,35244.58,"High Income",5807,5807,0,0,0,0,"Female"
"C00000030","Chloe Odette Martin","chloe.martin8765@gmail.com",42,"Owner","A00000024","Illinois","Northeast","East North Central","No Card",2,35,0,0,0,"No Loan",4,0,0,0,1,3,0,0,3,0,1,0,0,0,140,1291199,645599.5,36891.4,"High Networth",7862,221,0,0,0,7641,"Female"
"C00000031","Logan Judd Allen","logan.allen4@gmail.com",37,"Owner","A00000025","Rhode Island","Northeast","New England","No Card",3,39,30276,12,2523,"A",3,0,0,0,1,2,0,0,3,0,0,0,0,0,274,4988422,1662807.33,127908.26,"High Networth",10614.2,6817,164,0,2523.2,1110,"Male"
"C00000032","Matthew Keyon Sanchez","matthew.sanchez3@gmail.com",19,"Owner","A00000026","Connecticut","Northeast","New England","No Card",6,74,0,0,0,"No Loan",6,0,0,1,2,3,0,0,6,0,0,0,0,0,351,4178461,696410.17,56465.69,"High Income",10387,10387,0,0,0,0,"Male"
"C00000033","Ella Triniti Jackson","ella.jackson4@outlook.com",51,"Owner","A00000027","Connecticut","Northeast","New England","No Card",6,73,0,0,0,"No Loan",7,0,0,0,4,2,1,0,4,3,0,0,0,0,352,1048361,174726.83,14361.11,"Upper-Middle Income",4054,4054,0,0,0,0,"Female"
"C00000036","Grace Emma Thompson","grace.thompson56@gmail.com",21,"Owner","A00000029","Colorado","West","Mountain","No Card",4,59,0,0,0,"No Loan",6,0,0,0,1,5,0,0,5,0,0,0,1,0,367,4344454,1086113.5,73634.81,"High Networth",7708,6871,8,0,0,829,"Female"
"C00000037","Lucas Korben Wright","lucas.wright5@gmail.com",29,"User","A00000029","Colorado","West","Mountain","No Card",4,59,0,0,0,"No Loan",1,0,0,0,0,1,0,0,1,0,0,0,0,0,367,4344454,1086113.5,73634.81,"High Networth",7708,6871,8,0,0,829,"Male"
"C00000039","Jackson Rishaan King","jackson.king@gmail.com",32,"Owner","A00000031","Rhode Island","Northeast","New England","No Card",5,66,0,0,0,"No Loan",5,0,0,0,2,3,0,0,3,1,0,0,0,0,383,2375458,475091.6,35991.79,"High Income",10202,10202,0,0,0,0,"Male"
"C00000041","David Yousif Scott","david.scott@outlook.com",31,"Owner","A00000033","Virginia","South","South Atlantic","VISA Infinite",6,74,0,0,0,"No Loan",5,0,0,0,2,3,0,0,4,1,0,0,0,0,344,5501289,916881.5,74341.74,"High Income",3892,3892,0,0,0,0,"Male"
"C00000042","Oliver Bailey Green","oliver.green@gmail.com",64,"Owner","A00000034","Rhode Island","Northeast","New England","VISA Signature",6,73,0,0,0,"No Loan",2,0,0,0,0,2,0,0,1,1,0,0,0,0,409,11169489,1861581.5,153006.7,"High Networth",8051,502,0,1479,0,6070,"Male"
"C00000043","Jayden Cedar Baker","jayden.baker4@gmail.com",79,"Owner","A00000035","New York","Northeast","Middle Atlantic","No Card",6,75,0,0,0,"No Loan",4,0,0,0,1,2,1,0,3,1,0,0,0,0,379,4016869,669478.17,53558.25,"High Networth",2384,2384,0,0,0,0,"Male"
"C00000044","Scarlett Ann Lee","scarlett.lee@gmail.com",23,"Owner","A00000036","Connecticut","Northeast","New England","No Card",6,76,0,0,0,"No Loan",5,0,0,0,4,1,0,0,3,2,0,0,0,0,388,3380951,563491.83,44486.2,"High Income",4069,4069,0,0,0,0,"Female"
"C00000045","Joseph Ely Adams","joseph.adams@gmail.com",47,"Owner","A00000037","Missouri","Midwest","West North Central","No Card",2,26,318480,60,5308,"D",3,0,0,1,0,2,0,0,2,0,0,0,0,0,130,1404918,702459,54035.31,"High Networth",10305.5,2317,97,0,5307.5,2584,"Male"
"C00000046","Zoey Emma Gonzalez","zoey.gonzalez@gmail.com",60,"Owner","A00000038","Georgia","South","South Atlantic","No Card",2,26,110736,48,2307,"C",6,0,0,1,2,3,0,0,3,3,0,0,0,0,130,2245790,1122895,86376.54,"High Networth",9666.8,6901,228,0,2306.8,231,"Female"
"C00000047","Gabriel Jahlil Nelson","gabriel.jahlil.nelson@gmail.com",65,"Owner","A00000039","New York","Northeast","Middle Atlantic","No Card",6,73,0,0,0,"No Loan",2,0,0,0,1,1,0,0,1,1,0,0,0,0,399,4813265,802210.83,65935.14,"High Networth",3115,3115,0,0,0,0,"Male"
"C00000048","Samuel Koby Hill","samuel.hill@gmail.com",59,"Owner","A00000040","Maryland","South","South Atlantic","No Card",6,72,0,0,0,"No Loan",1,0,0,0,1,0,0,0,0,1,0,0,0,0,366,2880970,480161.67,40013.47,"High Income",4334,33,0,0,0,4301,"Male"
"C00000050","Lily Sophia Clark","lily.clark@gmail.com",21,"Owner","A00000042","South Carolina","South","South Atlantic","No Card",3,38,0,0,0,"No Loan",4,0,1,0,1,1,1,0,4,0,0,0,0,0,198,1976811,658937,52021.34,"High Networth",6070,4239,1592,0,0,239,"Female"
"C00000051","Lillian Ava Lewis","lillian.lewis@gmail.com",20,"Owner","A00000043","Rhode Island","Northeast","New England","VISA Standard",5,64,0,0,0,"No Loan",5,0,0,1,3,1,0,0,3,2,0,0,0,0,321,4756771,951354.2,74324.55,"High Income",6589,6589,0,0,0,0,"Female"
"C00000052","Carter Markel Ramirez","carter.ramirez@gmail.com",75,"Owner","A00000044","Alabama","South","East South Central","No Card",6,77,0,0,0,"No Loan",1,0,0,0,1,0,0,0,0,0,0,0,0,0,316,2662844,443807.33,34582.39,"High Income",2344,2344,0,0,0,0,"Male"
"C00000055","Natalie Isabella Robinson","natalie.robinson@gmail.com",51,"Owner","A00000047","Wyoming","West","Mountain","No Card",6,74,0,0,0,"No Loan",5,0,0,0,2,2,1,0,3,0,1,0,0,1,565,15574048,2595674.67,210460.11,"High Networth",7264,6940,141,0,0,183,"Female"
"C00000056","John Rigoberto Mitchell","john.mitchell@gmail.com",39,"Owner","A00000048","Nebraska","Midwest","West North Central","VISA Signature",2,35,0,0,0,"No Loan",2,0,0,0,1,1,0,0,2,0,0,0,0,0,151,1898337,949168.5,54238.2,"High Networth",7297,6268,0,0,0,1029,"Male"
"C00000057","Hannah Mia Walker","hannah.walker@gmail.com",38,"User","A00000048","Nebraska","Midwest","West North Central","No Card",2,35,0,0,0,"No Loan",5,0,0,0,1,4,0,0,4,0,0,0,0,0,151,1898337,949168.5,54238.2,"High Networth",7297,6268,0,0,0,1029,"Female"
"C00000058","Aria Abigail Perez","aria.perez@gmail.com",72,"Owner","A00000049","New York","Northeast","Middle Atlantic","No Card",2,31,0,0,0,"No Loan",3,0,0,0,2,1,0,0,3,0,0,0,0,0,93,558330,279165,18010.65,"Upper-Middle Income",3102,3102,0,0,0,0,"Female"
"C00000059","Dylan Tiberius Roberts","dylan.roberts@gmail.com",42,"Owner","A00000050","New York","Northeast","Middle Atlantic","No Card",5,66,0,0,0,"No Loan",4,0,0,0,3,1,0,0,3,0,1,0,0,0,377,3330368,666073.6,50460.12,"High Networth",7293,269,0,0,0,7024,"Male"
"C00000060","Luke Wolfgang Carter","luke.carter@outlook.com",19,"Owner","A00000051","Connecticut","Northeast","New England","VISA Standard",3,41,0,0,0,"No Loan",6,0,0,0,3,2,1,0,2,0,1,1,0,0,192,3449049,1149683,84123.15,"High Networth",4131,2074,0,0,0,2057,"Male"
"C00000061","Layla Emily Hall","layla.hall@gmail.com",51,"Owner","A00000052","Maryland","South","South Atlantic","No Card",2,33,0,0,0,"No Loan",3,0,0,1,1,1,0,0,1,1,0,0,0,0,144,3230962,1615481,97907.94,"High Networth",4283,560,0,0,0,3723,"Female"
"C00000062","Henry Chayce Phillips","henry.phillips@gmail.com",67,"Owner","A00000053","New York","Northeast","Middle Atlantic","No Card",4,52,0,0,0,"No Loan",2,0,0,0,1,1,0,0,1,0,0,0,0,0,197,1635967,408991.75,31460.9,"High Income",2851,2851,0,0,0,0,"Male"
"C00000063","Andrew Deven Evans","andrew.evans@gmail.com",40,"Owner","A00000054","North Carolina","South","South Atlantic","No Card",4,54,0,0,0,"No Loan",3,0,0,0,1,1,1,0,3,0,0,0,0,0,210,1661783,415445.75,30773.76,"High Income",2280,2280,0,0,0,0,"Male"
"C00000064","Isaac Levon Turner","isaac.turner@gmail.com",73,"Owner","A00000055","Missouri","Midwest","West North Central","No Card",3,44,0,0,0,"No Loan",5,0,0,0,3,2,0,0,2,0,2,0,0,0,150,1019556,339852,23171.73,"High Income",3086,3086,0,0,0,0,"Male"
"C00000065","Brooklyn Charlotte Young","brooklyn.young@gmail.com",56,"Owner","A00000056","New York","Northeast","Middle Atlantic","No Card",5,65,0,0,0,"No Loan",1,0,0,0,0,0,1,0,1,0,0,0,0,0,293,1740988,348197.6,26784.43,"High Income",8080,8080,0,0,0,0,"Female"
"C00000066","Alexa Harper Allen","alexa.harper.allen@gmail.com",48,"Owner","A00000057","New York","Northeast","Middle Atlantic","No Card",4,53,0,0,0,"No Loan",2,0,0,0,1,0,1,0,1,0,0,1,0,0,255,1908105,477026.25,36001.98,"High Income",4107,4107,0,0,0,0,"Female"
"C00000067","Zoe Madison Sanchez","zoe.sanchez@gmail.com",67,"Owner","A00000058","New Jersey","Northeast","Middle Atlantic","No Card",3,38,0,0,0,"No Loan",4,0,0,0,1,3,0,0,2,2,0,0,0,0,137,460268,153422.67,12112.32,"Upper-Middle Income",0,0,0,0,0,0,"Female"
"C00000068","Christopher Lloyd Torres","christopher.torres@hotmail.com",53,"Owner","A00000059","Delaware","South","South Atlantic","No Card",5,67,0,0,0,"No Loan",3,0,0,0,2,1,0,0,2,0,0,0,0,0,385,5258958,1051791.6,78491.91,"High Networth",6885,695,0,0,0,6190,"Male"
"C00000070","Joshua Carsyn Parker","joshua.parker@gmail.com",74,"Owner","A00000061","California","West","Pacific","No Card",5,70,0,0,0,"No Loan",5,0,0,1,0,4,0,0,4,1,0,0,0,0,339,3467911,693582.2,49541.59,"High Networth",2313,2313,0,0,0,0,"Male"
"C00000071","Penelope Amelia Wright","penelope.wright@gmail.com",72,"User","A00000061","California","West","Pacific","No Card",5,70,0,0,0,"No Loan",4,0,0,1,0,3,0,0,3,1,0,0,0,0,339,3467911,693582.2,49541.59,"High Networth",2313,2313,0,0,0,0,"Female"
"C00000072","Wyatt Devyn Collins","wyatt.collins@gmail.com",77,"Owner","A00000062","West Virginia","South","South Atlantic","No Card",6,79,0,0,0,"No Loan",6,0,0,0,1,4,1,0,4,1,0,0,0,0,356,3415863,569310.5,43238.77,"High Income",2273,2273,0,0,0,0,"Male"
"C00000073","Sebastian Dov Edwards","sebastian.edwards@outlook.com",75,"Owner","A00000063","Virginia","South","South Atlantic","No Card",2,35,0,0,0,"No Loan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1790750,895375,51164.29,"High Networth",2394,2394,0,0,0,0,"Male"
"C00000074","Riley Elizabeth King","riley.king@gmail.com",74,"User","A00000063","Virginia","South","South Atlantic","No Card",2,35,0,0,0,"No Loan",6,0,0,0,2,4,0,1,4,0,0,1,0,0,129,1790750,895375,51164.29,"High Networth",2394,2394,0,0,0,0,"Female"
"C00000076","Audrey Evelyn Green","audrey.green@gmail.com",32,"Owner","A00000065","Rhode Island","Northeast","New England","VISA Signature",3,36,0,0,0,"No Loan",2,0,0,1,0,1,0,0,2,0,0,0,0,0,181,4774257,1591419,132618.25,"High Networth",7402,686,3401,0,0,3315,"Female"
"C00000077","Savannah Avery Baker","savannah.baker@gmail.com",43,"Owner","A00000066","New York","Northeast","Middle Atlantic","VISA Signature",5,71,0,0,0,"No Loan",2,0,1,0,0,0,1,0,1,0,0,0,0,0,316,6240834,1248166.8,87899.07,"High Networth",4471.3,0,0,4471.3,0,0,"Female"
"C00000078","Allison Chloe Adams","allison.adams@gmail.com",55,"Owner","A00000067","Maryland","South","South Atlantic","No Card",5,60,165960,24,6915,"A",2,0,0,1,0,1,0,0,2,0,0,0,0,0,382,11011756,2202351.2,183529.27,"High Networth",13753,6393,0,0,6915,445,"Female"
"C00000079","Samantha Ella Nelson","samantha.nelson@outlook.com",30,"Owner","A00000068","Mississippi","South","East South Central","VISA Infinite",4,58,0,0,0,"No Loan",2,0,0,0,0,2,0,0,1,0,1,0,0,0,424,15867007,3966751.75,273569.09,"High Networth",3089,1705,137,0,0,1247,"Female"
"C00000081","Owen Drayden Stewart","owen.stewart@gmail.com",23,"Owner","A00000070","District of Columbia","South","South Atlantic","No Card",4,56,0,0,0,"No Loan",2,0,0,1,0,1,0,0,1,0,1,0,0,0,245,1665362,416340.5,29738.61,"High Income",4150,4150,0,0,0,0,"Male"
"C00000082","Skylar Victoria Ramirez","skylar.ramirez@gmail.com",20,"User","A00000070","District of Columbia","South","South Atlantic","No Card",4,56,0,0,0,"No Loan",5,0,0,0,4,1,0,0,2,1,1,1,0,0,245,1665362,416340.5,29738.61,"High Income",4150,4150,0,0,0,0,"Female"
"C00000083","Camila Aubrey Campbell","camila.campbell@gmail.com",21,"Owner","A00000071","New York","Northeast","Middle Atlantic","VISA Standard",5,68,0,0,0,"No Loan",4,0,0,1,0,3,0,0,2,1,0,0,0,0,496,11843003,2368600.6,174161.81,"High Networth",4359,968,1011,0,0,2380,"Female"
"C00000084","Caleb Floyd Flores","caleb.flores@gmail.com",20,"User","A00000071","New York","Northeast","Middle Atlantic","No Card",5,68,0,0,0,"No Loan",2,0,0,0,2,0,0,0,1,1,0,0,0,0,496,11843003,2368600.6,174161.81,"High Networth",4359,968,1011,0,0,2380,"Male"
"C00000085","Nathan Fynn Morris","nathan.fynn.morris@gmail.com",38,"Owner","A00000072","New York","Northeast","Middle Atlantic","No Card",3,40,0,0,0,"No Loan",1,0,0,0,0,1,0,0,0,0,0,0,0,0,242,2851378,950459.33,71284.45,"High Networth",12318,7109,0,2923,0,2286,"Male"
"C00000086","Anna Scarlett Mitchell","anna.mitchell@gmail.com",30,"User","A00000072","New York","Northeast","Middle Atlantic","No Card",3,40,0,0,0,"No Loan",4,0,0,1,1,1,1,0,2,1,0,1,0,0,242,2851378,950459.33,71284.45,"High Networth",12318,7109,0,2923,0,2286,"Female"
"C00000087","Paisley Zoey Roberts","paisley.roberts@hotmail.com",53,"Owner","A00000073","Pennsylvania","Northeast","Middle Atlantic","VISA Signature",5,71,0,0,0,"No Loan",2,0,0,0,1,1,0,0,1,0,0,0,0,0,366,5206060,1041212,73324.79,"High Networth",6061,6061,0,0,0,0,"Female"
"C00000089","Ariana Addison Carter","ariana.carter@gmail.com",48,"Owner","A00000075","New York","Northeast","Middle Atlantic","No Card",4,50,0,0,0,"No Loan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,947905,236976.25,18958.1,"Upper-Middle Income",3369,3369,0,0,0,0,"Female"
"C00000090","Ryan Jaron Nguyen","ryan.nguyen@gmail.com",24,"Owner","A00000076","Connecticut","Northeast","New England","No Card",3,41,0,0,0,"No Loan",1,0,0,0,0,1,0,0,1,0,0,0,0,0,163,818592,272864,19965.66,"Upper-Middle Income",5208,5208,0,0,0,0,"Male"
"C00000091","Jack Kaius Murphy","jack.murphy@gmail.com",59,"Owner","A00000077","Connecticut","Northeast","New England","No Card",2,35,0,0,0,"No Loan",3,0,0,0,1,2,0,0,2,0,0,1,0,0,104,1080034,540017,30858.11,"High Income",1709,0,0,1709,0,0,"Male"
"C00000092","Ellie Lily Phillips","ellie.phillips@outlook.com",33,"Owner","A00000078","Illinois","Northeast","East North Central","No Card",6,75,0,0,0,"No Loan",3,0,0,0,2,1,0,0,3,0,0,0,0,0,388,1590150,265025,21202,"Upper-Middle Income",9039,9039,0,0,0,0,"Female"
"C00000093","Hunter Kyran Rivera","hunter.rivera@gmail.com",74,"Owner","A00000079","Ohio","Midwest","East North Central","No Card",2,35,0,0,0,"No Loan",5,0,0,1,3,1,0,0,4,0,0,0,0,0,104,938216,469108,26806.17,"High Income",2788,2788,0,0,0,0,"Male"
"C00000094","Levi Laken Cook","levi.cook@gmail.com",52,"Owner","A00000080","Delaware","South","South Atlantic","No Card",4,49,0,0,0,"No Loan",2,0,0,1,1,0,0,0,2,0,0,0,0,0,176,1374440,343610,28049.8,"High Income",2252,2252,0,0,0,0,"Male"
"C00000095","Aaliyah Lillian Evans","aaliyah.evansw@gmail.com",47,"User","A00000080","Delaware","South","South Atlantic","No Card",4,49,0,0,0,"No Loan",3,0,0,0,2,0,1,0,1,1,0,0,0,0,176,1374440,343610,28049.8,"High Income",2252,2252,0,0,0,0,"Female"
"C00000096","Christian Monte Rogers","christian.rogers@gmail.com",27,"Owner","A00000081","Illinois","Northeast","East North Central","No Card",3,39,0,0,0,"No Loan",4,0,0,0,2,2,0,0,3,0,0,0,0,0,217,2744218,914739.33,70364.56,"High Networth",2056,1765,229,0,0,62,"Male"
"C00000098","Claire Natalie Turner","claire.turner@outlook.com",26,"Owner","A00000083","Utah","West","Mountain","No Card",6,78,0,0,0,"No Loan",4,0,0,0,1,3,0,0,3,0,0,0,0,0,431,3146082,524347,40334.38,"High Networth",6150,2210,0,0,0,3940,"Female"
"C00000099","Julian Britton Peterson","julian.peterson@gmail.com",27,"User","A00000083","Utah","West","Mountain","No Card",6,78,0,0,0,"No Loan",1,0,0,1,0,0,0,0,1,0,0,0,0,0,431,3146082,524347,40334.38,"High Networth",6150,2210,0,0,0,3940,"Male"
"C00000100","Violet Hannah Torres","violet.torres@gmail.com",57,"Owner","A00000084","Maine","Northeast","New England","No Card",3,46,0,0,0,"No Loan",3,0,0,0,0,2,1,0,2,1,0,0,0,0,211,998891,332963.67,21715.02,"High Income",14161,12452,0,1709,0,0,"Female"
"C00000101","Landon Estevan Cooper","landon.cooper3@gmail.com",57,"Owner","A00000085","Rhode Island","Northeast","New England","No Card",2,31,0,0,0,"No Loan",3,0,0,2,0,1,0,0,2,0,0,0,0,0,108,540562,270281,17437.48,"High Income",5623,3831,0,1792,0,0,"Male"
"C00000102","Stella Aria Parker","stella.parker@gmail.com",41,"Owner","A00000086","Illinois","Northeast","East North Central","No Card",6,79,0,0,0,"No Loan",4,0,0,1,1,2,0,0,3,1,0,0,0,0,410,4109995,684999.17,52025.25,"High Networth",2162,1002,0,0,0,1160,"Female"
"C00000103","Grayson Johnnie Reed","grayson.reed45@gmail.com",44,"User","A00000086","Illinois","Northeast","East North Central","No Card",6,79,0,0,0,"No Loan",6,0,0,0,1,4,1,0,2,2,0,0,0,0,410,4109995,684999.17,52025.25,"High Networth",2162,1002,0,0,0,1160,"Male"
